time="2021-03-30 13:28:18" level=warning Agent="Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36" DataSize=0 HostName=DESKTOP-H83SQD6 Ip=192.168.75.129 Method=GET Path=/ SpendTime="1 ms" status=404
time="2021-03-30 13:28:18" level=warning Agent="Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36" DataSize=0 HostName=DESKTOP-H83SQD6 Ip=192.168.75.129 Method=GET Path=/favicon.ico SpendTime="0 ms" status=404
time="2021-03-30 13:28:50" level=warning Agent="Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36" DataSize=0 HostName=DESKTOP-H83SQD6 Ip="::1" Method=GET Path="/api/v1/weather?city=%E4%B8%8A%E6%B5%B7,%E4%B8%8A%E6%B5%B7,%E6%9D%BE%E6%B1%9F" SpendTime="0 ms" status=404
time="2021-03-30 13:29:08" level=info Agent="Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36" DataSize=2327 HostName=DESKTOP-H83SQD6 Ip=192.168.75.129 Method=GET Path="/weather?city=%E4%B8%8A%E6%B5%B7,%E4%B8%8A%E6%B5%B7,%E6%9D%BE%E6%B1%9F" SpendTime="54 ms" status=200
time="2021-03-30 13:29:26" level=info Agent="Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36" DataSize=2279 HostName=DESKTOP-H83SQD6 Ip=192.168.75.129 Method=GET Path="/weather?city=%E4%B8%8A%E6%B5%B7" SpendTime="12 ms" status=200
time="2021-03-30 22:23:06" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=53 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="10 ms" status=200
time="2021-03-30 22:23:07" level=warning Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=0 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/favicon.ico SpendTime="0 ms" status=404
time="2021-03-30 22:23:17" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=36 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather SpendTime="0 ms" status=200
time="2021-03-30 22:23:28" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=2271 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path="/weather?city=%E4%B8%8A%E6%B5%B7" SpendTime="113 ms" status=200
time="2021-03-30 22:25:53" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="0 ms" status=200
time="2021-03-30 22:26:33" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=5375 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="6 ms" status=200
time="2021-03-30 22:27:12" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=4005 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/citylist SpendTime="10 ms" status=200
time="2021-03-30 22:27:56" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=53 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="6 ms" status=200
time="2021-03-30 22:29:14" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=53 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="8 ms" status=200
time="2021-03-30 22:37:24" level=info Agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.11 Safari/537.36" DataSize=0 HostName=DESKTOP-6CVE2DL Ip="::1" Method=GET Path=/weather/status SpendTime="8 ms" status=200
